name,l,b,RA,dec,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,Separation
Gaia18auo,358.21552,-7.67634,273.21171,-34.27934,BLG548.32.45402,BLG548.32,45402,18:12:50.81,-34:16:45.6,273.211718,-34.279321,358.215534,-7.676335,2458194.213,23.107,0.184,17.676,0.944,2458194.277,-0.229,0.222,23.631,-1.08,1.57,0.178,-0.018,0.013,17.719,-0.1,0.14,0.908,-0.109,0.087,49.49,Gaia18auo,0.0724215455023576
Gaia18cdv,358.51307,6.38419,259.43952,-26.69448,BLG972.16.42973,BLG972.16,42973,17:17:45.49,-26:41:40.1,259.43953,-26.69447,358.513073,6.384196,2458299.5,71.189,0.342,16.814,0.959,2458299.781,-0.569,0.568,76.043,-5.441,8.813,0.307,-0.048,0.035,16.97,-0.156,0.24,0.831,-0.165,0.129,62.27,Gaia18cdv,0.04827477642752225
Gaia16aua,313.07665,1.69884,213.19494,-59.5612,GD1242.02.14463,GD1242.02,14463,14:12:46.80,-59:33:40.4,213.194989,-59.561211,313.076667,1.698827,2457548.255,124.756,0.119,19.203,0.672,2457548.254,-0.735,0.673,120.619,-15.04,21.334,0.126,-0.026,0.028,19.143,-0.232,0.27,0.71,-0.155,0.168,14.039,Gaia16aua,0.09774806305224706
Gaia16bmu,297.25017,3.3223,181.77632,-59.05947,GD2242.03.1639,GD2242.03,1639,12:07:06.34,-59:03:34.0,181.776414,-59.059446,297.250207,3.32238,2458159.977,32.255,0.491,18.429,1.0,2458160.001,-0.825,0.825,34.767,-2.661,4.538,0.437,-0.085,0.058,18.607,-0.182,0.303,0.849,-0.206,0.155,31.172,Gaia16bmu,0.19425938122388672
Gaia17cbm,18.01836,0.77976,275.22851,-12.87484,BLG778.26.2080,BLG778.26,2080,18:20:54.84,-12:52:29.4,275.228487,-12.87482,18.018363,0.779789,2457973.325,74.568,0.25,18.527,1.0,2457973.302,-0.313,0.301,77.184,-4.787,9.113,0.24,-0.033,0.021,18.581,-0.106,0.194,0.953,-0.156,0.098,52.896,Gaia17cbm,0.10816399763110418
Gaia18clg,287.75614,-6.16668,155.58239,-64.55042,GD2052.21.4985,GD2052.21,4985,10:22:19.79,-64:33:01.6,155.582454,-64.550437,287.756163,-6.166677,2458475.065,65.798,0.461,19.347,1.0,2458474.688,-6.568,4.42,78.496,-12.768,21.771,0.378,-0.121,0.082,19.613,-0.291,0.567,0.784,-0.319,0.242,22.577,Gaia18clg,0.11639486321839648
Gaia18clu,1.28747,-11.05112,278.46587,-33.07086,BLG695.09.16388,BLG695.09,16388,18:33:51.82,-33:04:15.1,278.465905,-33.070873,1.287467,-11.051149,2458361.153,28.977,0.044,20.854,1.525,2458361.141,-0.122,0.118,32.106,-8.191,14.666,0.04,-0.014,0.015,20.979,-0.372,0.462,1.372,-0.446,0.51,53.237,Gaia18clu,0.11549444579078237
Gaia18cnm,23.21634,2.81329,275.87885,-7.33271,DG1084.30.1058,DG1084.30,1058,18:23:30.93,-07:19:57.7,275.878881,-7.33269,23.216364,2.813271,2458392.533,57.55,0.474,17.081,1.007,2458392.376,-0.847,0.828,62.321,-3.71,5.538,0.419,-0.054,0.042,17.274,-0.147,0.205,0.845,-0.145,0.121,52.029,Gaia18cnm,0.13204423599515086
Gaia18eaz,312.92638,-6.48843,219.37581,-67.27881,GD1981.11.16031,GD1981.11,16031,14:37:30.21,-67:16:43.6,219.37589,-67.278788,312.92641,-6.488418,2458497.063,41.356,0.07,17.864,1.0,2458497.948,-0.694,0.573,47.673,-4.439,5.737,0.055,-0.011,0.01,18.185,-0.222,0.228,0.744,-0.14,0.168,30.053,Gaia18eaz,0.1365533218993028
Gaia19aqq,333.37912,-0.73377,245.87069,-50.62697,GD1132.10.19016,GD1132.10,19016,16:23:28.98,-50:37:37.0,245.870744,-50.626951,333.37915,-0.733783,2458544.374,97.442,0.324,18.484,1.0,2458544.41,-1.291,1.213,102.257,-7.18,11.203,0.307,-0.04,0.026,18.562,-0.114,0.195,0.931,-0.153,0.103,14.051,Gaia19aqq,0.14101988318644296
Gaia19bej,275.09499,-3.20675,139.9749,-54.22057,GD1446.23.3493,GD1446.23,3493,09:19:53.98,-54:13:14.3,139.974915,-54.220627,275.09503,-3.206778,2458575.368,41.625,0.205,18.818,0.752,2458575.317,-0.414,0.426,42.015,-5.457,9.969,0.202,-0.054,0.051,18.836,-0.278,0.372,0.74,-0.214,0.216,15.633,Gaia19bej,0.20761461675634696
Gaia19bek,275.07502,-3.55262,139.52795,-54.44886,GD1446.16.5034,GD1446.16,5034,09:18:06.73,-54:26:56.0,139.52805,-54.448884,275.075071,-3.552591,2458553.046,75.345,0.075,19.034,0.789,2458553.053,-0.158,0.152,75.513,-8.81,11.358,0.076,-0.012,0.013,19.034,-0.175,0.193,0.789,-0.128,0.136,10.843,Gaia19bek,0.22644541337539656
Gaia19bir,327.63369,3.43335,234.64341,-51.24145,GD1175.26.41525,GD1175.26,41525,15:38:34.44,-51:14:29.1,234.643493,-51.241418,327.633744,3.433347,2458617.085,140.092,0.006,20.085,0.68,2458617.56,-0.509,0.911,145.692,-35.847,69.612,0.008,-0.004,0.004,20.14,-0.387,0.515,0.646,-0.243,0.275,11.918,Gaia19bir,0.2196878964306496
Gaia19bix,333.8019,-4.80386,251.18375,-53.07378,GD1927.30.27120,GD1927.30,27120,16:44:44.11,-53:04:25.7,251.183795,-53.073803,333.801897,-4.80389,2458578.062,26.815,0.046,18.547,1.019,2458578.06,-0.04,0.041,28.015,-1.758,2.669,0.044,-0.004,0.004,18.605,-0.086,0.118,0.966,-0.098,0.078,48.662,Gaia19bix,0.12778281664281776
Gaia19dzz,23.10531,1.96642,276.58263,-7.82546,DG1084.09.17196,DG1084.09,17196,18:26:19.83,-07:49:31.6,276.582622,-7.825452,23.105308,1.966433,2458737.935,18.726,0.209,17.645,0.962,2458737.948,-0.091,0.094,19.125,-0.805,1.185,0.203,-0.018,0.013,17.684,-0.079,0.115,0.929,-0.092,0.069,101.729,Gaia19dzz,0.040540146982408445
Gaia19eid,313.54461,-1.64418,216.40517,-62.55922,GD1238.01.21749,GD1238.01,21749,14:25:37.25,-62:33:33.2,216.405188,-62.559226,313.544609,-1.644189,2458722.848,60.878,0.384,17.324,1.0,2458718.09,-9.311,9.409,65.528,-8.735,9.6,0.308,-0.087,0.079,17.61,-0.225,0.436,0.768,-0.254,0.177,17.655,Gaia19eid,0.036855013577577575
Gaia19ejl,300.93369,-1.52531,188.24495,-64.32542,GD1303.11.825,GD1303.11,825,12:32:58.80,-64:19:31.5,188.244995,-64.32543,300.9337,-1.525317,2458750.697,105.038,0.523,16.01,1.0,2458750.743,-1.745,1.697,109.533,-3.783,6.581,0.48,-0.056,0.035,16.133,-0.096,0.164,0.893,-0.125,0.083,11.066,Gaia19ejl,0.07888189745927443
